('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         751453 function calls (730916 primitive calls) in 1.801 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       52    0.000    0.000    0.000    0.000 typing.py:885(__init__)
       56    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        2    0.000    0.000    0.803    0.402 adapters.py:613(send)
  134/132    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        2    0.000    0.000    0.092    0.046 exceptions.py:1(<module>)
        2    0.000    0.000    0.001    0.000 parser.py:56(parsestr)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.087    0.087 sessions.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        2    0.000    0.000    0.036    0.018 client.py:213(_read_headers)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.694    0.347 client.py:291(_read_status)
       24    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      187    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       45    0.000    0.000    0.205    0.005 models.py:816(generate)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.730    0.365 client.py:324(begin)
        1    0.000    0.000    0.005    0.005 cookiejar.py:1(<module>)
        1    0.000    0.000    0.026    0.026 ssl_.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      160    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       45    0.000    0.000    0.205    0.005 response.py:1044(stream)
        2    0.000    0.000    0.802    0.401 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.032    0.032 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.015    0.015 client.py:1(<module>)
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       12    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       87    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.071    0.071 connection.py:669(connect)
        1    0.000    0.000    0.009    0.009 <frozen ntpath>:1(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.032    0.032 ssl.py:956(_create)
        1    0.000    0.000    0.065    0.065 compat.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.001    0.001 ssl_.py:219(create_urllib3_context)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.023    0.023 dammit.py:1(<module>)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
       16    0.000    0.000    0.022    0.001 css_parser.py:296(__init__)
        1    0.000    0.000    0.023    0.023 cd.py:1(<module>)
       19    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
        2    0.000    0.000    0.122    0.061 api.py:1(<module>)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       26    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        2    0.000    0.000    0.006    0.003 core.py:1(<module>)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        2    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
      160    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      120    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.086    0.086 _request_methods.py:1(<module>)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
        1    0.000    0.000    0.102    0.102 element.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.023    0.023 css_parser.py:418(CSSParser)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        2    0.000    0.000    0.001    0.000 client.py:231(_parse_header_lines)
    44/25    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       12    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        8    0.000    0.000    0.000    0.000 _htmlparser.py:182(handle_charref)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       14    0.000    0.000    0.009    0.001 css_parser.py:1135(process_selectors)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        8    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       24    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.038    0.038 connection.py:27(create_connection)
        6    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        2    0.000    0.000    0.001    0.000 utils.py:204(get_netrc_auth)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        2    0.000    0.000    0.000    0.000 adapters.py:359(build_response)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.038    0.038 connection.py:192(_new_conn)
      128    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
      131    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        3    0.000    0.000    0.000    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        4    0.000    0.000    0.000    0.000 feedparser.py:100(push)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
    32/26    0.000    0.000    0.001    0.000 typing.py:508(__getitem__)
        9    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
        1    0.000    0.000    0.009    0.009 filepost.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
        3    0.000    0.000    0.000    0.000 client.py:430(close)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        2    0.000    0.000    0.731    0.365 client.py:1384(getresponse)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
       48    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       32    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        2    0.000    0.000    0.012    0.006 parser.py:1(<module>)
        3    0.000    0.000    0.000    0.000 utils.py:765(should_bypass_proxies)
       50    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
      114    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.000    0.000 connection.py:355(putheader)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        1    0.000    0.000    0.003    0.003 mimetypes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
       48    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        2    0.000    0.000    0.000    0.000 socket.py:770(close)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        1    0.000    0.000    0.109    0.109 _base_connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method today}
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
        7    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        2    0.000    0.000    0.001    0.000 parser.py:41(parse)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 request.py:191(body_to_chunks)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    1.011    1.011 sessions.py:500(request)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.011    0.011 socket.py:946(getaddrinfo)
       26    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
       22    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
        5    0.000    0.000    0.206    0.041 models.py:890(content)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1420(IPv4Interface)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        8    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
       26    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.026    0.026 formatter.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       20    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:636(unquote_unreserved)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      145    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        6    0.000    0.000    0.000    0.000 feedparser.py:176(_call_parse)
       12    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
      9/7    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    1.011    1.011 api.py:14(request)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
        5    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
        1    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.001    0.001 pretty.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:1191(Tag)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    1.011    1.011 api.py:62(get)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
    70/39    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        1    0.000    0.000    0.000    0.000 models.py:351(prepare)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
        1    0.000    0.000    0.001    0.001 socks.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:76(BeautifulSoup)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        1    0.000    0.000    0.000    0.000 element.py:144(PageElement)
      106    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       57    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       20    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        6    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:740(Optional)
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
       22    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        2    0.000    0.000    0.000    0.000 adapters.py:446(get_connection_with_tls_context)
       30    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.032    0.032 ssl.py:1313(do_handshake)
        1    0.000    0.000    0.000    0.000 response.py:499(_flush_decoder)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        4    0.000    0.000    0.000    0.000 utils.py:838(select_proxy)
        7    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        2    0.000    0.000    0.000    0.000 readers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response.py:916(read)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        7    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
       25    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        1    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        1    0.000    0.000    0.003    0.003 fields.py:1(<module>)
       24    0.000    0.000    0.000    0.000 threading.py:394(notify)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
       10    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        2    0.000    0.000    0.000    0.000 response.py:864(_raw_read)
       15    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
        1    0.000    0.000    0.011    0.011 css_parser.py:316(__init__)
        1    0.000    0.000    0.114    0.114 parser.py:104(feed)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       54    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        1    0.000    0.000    0.009    0.009 _policybase.py:1(<module>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 parse.py:825(__getattr__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1170(_close_pool_connections)
        6    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
       15    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       26    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
       26    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
        5    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1044(_new_conn)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:250(handle_decl)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        2    0.000    0.000    0.036    0.018 client.py:245(parse_headers)
        2    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        1    0.000    0.000    0.000    0.000 response.py:143(flush)
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
       27    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.071    0.035 connectionpool.py:1085(_validate_conn)
        2    0.000    0.000    0.000    0.000 connection.py:335(putrequest)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 client.py:865(__init__)
        1    0.000    0.000    0.001    0.001 _html5lib.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:670(verify_mode)
       25    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        7    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.017    0.017 element.py:2013(find_all)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 client.py:442(flush)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        4    0.000    0.000    0.000    0.000 response.py:641(release_conn)
        4    0.000    0.000    0.000    0.000 feedparser.py:171(feed)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f2c0f527880}
        2    0.000    0.000    0.000    0.000 models.py:85(path_url)
        7    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.000    0.000 cookies.py:236(Morsel)
        1    0.000    0.000    0.000    0.000 response.py:544(HTTPResponse)
        6    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        3    0.000    0.000    0.000    0.000 idna.py:155(encode)
        1    0.000    0.000    0.114    0.114 _htmlparser.py:372(feed)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
       46    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 response.py:301(BaseHTTPResponse)
        7    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        6    0.000    0.000    0.000    0.000 response.py:741(_error_catcher)
        2    0.000    0.000    0.000    0.000 poolmanager.py:305(connection_from_context)
        2    0.000    0.000    0.000    0.000 client.py:1027(send)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
       43    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 message.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
       20    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
       25    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       10    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        2    0.000    0.000    0.000    0.000 poolmanager.py:276(connection_from_host)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        4    0.000    0.000    0.000    0.000 warnings.py:182(_add_filter)
        7    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
        8    0.000    0.000    0.000    0.000 utils.py:1045(_validate_header_part)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        2    0.000    0.000    0.000    0.000 ssl.py:678(verify_mode)
        7    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        2    0.000    0.000    0.000    0.000 adapters.py:536(close)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 ssltransport.py:22(SSLTransport)
        1    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
       35    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        1    0.000    0.000    0.000    0.000 mimetypes.py:64(MimeTypes)
       40    0.000    0.000    0.000    0.000 message.py:511(set_raw)
        2    0.000    0.000    0.000    0.000 poolmanager.py:330(connection_from_pool_key)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 _lxml.py:1(<module>)
       12    0.000    0.000    0.000    0.000 threading.py:124(RLock)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:298(__init__)
       11    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
        1    0.000    0.000    0.000    0.000 ssl_match_hostname.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adapters.py:90(_urllib3_request_context)
        2    0.000    0.000    0.000    0.000 client.py:1082(_send_output)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 socket.py:681(__init__)
        1    0.000    0.000    0.000    0.000 message.py:977(MIMEPart)
        3    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:483(prepare_headers)
        2    0.000    0.000    0.000    0.000 message.py:483(items)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
