('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         751453 function calls (730916 primitive calls) in 1.801 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    162/1    0.001    0.000    1.801    1.801 {built-in method builtins.exec}
     6545    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    213/4    0.001    0.000    0.657    0.164 <frozen importlib._bootstrap>:1349(_find_and_load)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     4112    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     2697    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     5625    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2753    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     2717    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
    212/4    0.001    0.000    0.657    0.164 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
       49    0.001    0.000    0.001    0.000 <frozen abc>:105(__new__)
      325    0.001    0.000    0.002    0.000 css_parser.py:1094(selector_iter)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     7578    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      188    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4168    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     1360    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      376    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      192    0.001    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2756    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      188    0.000    0.000    0.069    0.000 _compiler.py:740(compile)
       43    0.000    0.000    0.005    0.000 response.py:122(decompress)
      880    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
      331    0.000    0.000    0.928    0.003 ssl.py:1237(recv_into)
     9075    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
    52/14    0.000    0.000    0.009    0.001 css_parser.py:911(parse_selectors)
     4168    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2754    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      160    0.000    0.000    0.139    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
     3818    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    187/4    0.000    0.000    0.647    0.162 <frozen importlib._bootstrap>:911(_load_unlocked)
       21    0.000    0.000    1.319    0.063 __init__.py:1(<module>)
      187    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     5475    0.000    0.000    0.000    0.000 element.py:2062(descendants)
     1425    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     3389    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2469    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      188    0.000    0.000    0.043    0.000 _parser.py:969(parse)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
     2864    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    432/8    0.000    0.000    0.640    0.080 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     3193    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2641    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
     1002    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      839    0.000    0.000    0.294    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      331    0.000    0.000    0.928    0.003 socket.py:693(readinto)
      906    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
